City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Belmonte,BR,77.5,moderate rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
1,Saint George,US,50.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
2,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
3,Kathmandu,NP,46.62,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
4,Busselton,AU,72.09,clear sky,-33.65,115.3333,Observatory Guest House
5,Rikitea,PF,77.07,overcast clouds,-23.1203,-134.9692,People ThankYou
6,Pangkalanbuun,ID,76.55,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
8,Ushuaia,AR,58.66,scattered clouds,-54.8,-68.3,Albatross Hotel
9,Hermanus,ZA,80.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
10,Lebu,CL,64.4,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
11,Bluff,NZ,61.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
12,Kapaa,US,73.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,East London,ZA,74.34,scattered clouds,-33.0153,27.9116,Tu Casa
14,Kieta,PG,79.88,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
15,Ghanzi,BW,80.98,overcast clouds,-21.5667,21.7833,Ghanzi Farmhouse
16,Luganville,VU,78.62,light rain,-15.5333,167.1667,The Espiritu Hotel
17,Punta Alta,AR,84.65,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
18,Vaini,TO,80.96,light rain,-21.2,-175.2,Keleti Beach Resort
19,Mar Del Plata,AR,78.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
20,Mataura,NZ,61.48,light rain,-46.1927,168.8643,Ellie's Villa
21,Dwarka,IN,70.21,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
22,Port Hedland,AU,84.25,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
23,Arlit,NE,82.18,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
24,Talara,PE,79.56,clear sky,-4.5772,-81.2719,Hostal Oro Negro
25,Fukue,JP,46.51,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
26,Oksbol,DK,48.81,overcast clouds,55.6268,8.2876,Billum Kro
27,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
28,Encruzilhada Do Sul,BR,77.72,clear sky,-30.5439,-52.5219,Conceição Palace Hotel
29,Cape Town,ZA,74.08,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
30,Malanje,AO,73.4,overcast clouds,-9.5402,16.341,Hotel Ginga
31,Atuona,PF,76.73,clear sky,-9.8,-139.0333,Villa Enata
32,Bredasdorp,ZA,80.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
33,Altea,ES,68.77,clear sky,38.5989,-0.0514,Albir Playa Hotel & Spa
34,Muros,ES,68.68,clear sky,42.7762,-9.0603,Apartment Av. Castelao
35,Sambava,MG,80.13,broken clouds,-14.2667,50.1667,Melrose
36,Tuatapere,NZ,61.83,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
37,Umm Lajj,SA,67.66,clear sky,25.0213,37.2685,Moon light Furnished Units
38,Tanda,IN,53.78,clear sky,26.55,82.65,MUMTAZ GANJ TANDA
40,Bure,ET,74.41,broken clouds,10.7,37.0667,Holiday
41,New Norfolk,AU,61.92,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
42,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
43,Qui Nhon,VN,73.56,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
44,Hilo,US,66.79,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
45,Port Alfred,ZA,72.84,few clouds,-33.5906,26.891,The Halyards Hotel
46,Itamarandiba,BR,81.73,broken clouds,-17.8572,-42.8589,Aricanduva Hotel
47,Bose,IT,51.48,clear sky,45.4612,8.0137,Locanda Borgo Antico
48,Hobart,AU,62.26,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
49,Bunda,TZ,76.84,overcast clouds,-2.05,33.8667,Tembea Mara at Balili Village
50,Sorong,ID,81.48,light rain,-0.8833,131.25,Waigo Splash Hotel
51,Yulara,AU,82.24,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
52,Santa Isabel,BR,72.66,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
53,Kaitangata,NZ,54.86,moderate rain,-46.2817,169.8464,Kaitangata Motor Camp
54,Eten,PE,82.65,clear sky,-6.9081,-79.8642,Hospedaje Sol Radiante
55,Siniscola,IT,56.75,clear sky,40.5719,9.6922,Hotel Sa Tanca E Bore
56,Riesi,IT,50.4,broken clouds,37.2819,14.0823,Residence Hotel Universo
57,Muisne,EC,80.71,overcast clouds,0.6,-80.0333,Quinta Samay
58,Naze,JP,55.4,overcast clouds,28.3667,129.4833,Shishime Hotel
59,Jalu,LY,60.12,clear sky,29.0331,21.5482,صاحبة الفخامة
60,Haifa,IL,54.01,broken clouds,32.8156,34.9892,Dan Panorama Haifa Hotel
61,Katherine,AU,80.92,moderate rain,-14.4667,132.2667,Pine Tree Motel
62,Kota Bahru,MY,76.95,few clouds,6.1333,102.2386,Grand Riverview Hotel
64,Karratha,AU,82.42,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
65,Punta Arenas,CL,59.02,broken clouds,-53.15,-70.9167,Hotel Hain
66,Port Keats,AU,81.7,moderate rain,-14.25,129.55,TDC Village (Hundred Man Camp)
67,Diego De Almagro,CL,72.5,clear sky,-26.3667,-70.05,hotel luna del desierto
68,Bengkulu,ID,77.99,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
69,Burnie,AU,61.95,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
70,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
71,Mulanje,MW,78.22,light rain,-16.0316,35.5,Mulanje Motel
72,Saint-Philippe,RE,81.99,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
73,Padang,ID,78.8,moderate rain,-0.9492,100.3543,Mercure Padang
74,Wanning,CN,66.6,broken clouds,18.8003,110.3967,Paradise Hotel
75,Acapulco,MX,78.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
76,Auki,SB,77.54,light rain,-8.7676,160.7034,Auki Motel
77,Souillac,MU,82.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
78,Albufeira,PT,64.24,overcast clouds,37.0882,-8.2503,Grande Real Santa Eulalia Resort & Hotel Spa
79,Mae Sai,TH,65.52,clear sky,20.4335,99.8762,Piyaporn Hill Paradise Hotel
80,Najran,SA,74.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
81,Bambous Virieux,MU,82.65,light rain,-20.3428,57.7575,Casa Tia Villa
82,San Patricio,US,52.83,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
83,Port Macquarie,AU,69.76,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
84,Murray Bridge,AU,72.46,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
85,Chuy,UY,74.88,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
86,Caceres,ES,61.81,clear sky,39.522,-6.3748,Ahc Hoteles
87,Butaritari,KI,81.91,light rain,3.0707,172.7902,Isles Sunset Lodge
88,Garowe,SO,81.45,overcast clouds,8.4054,48.4845,Curubo Hotel
89,Alofi,NU,71.49,broken clouds,-19.0595,-169.9187,Taloa Heights
90,Ferrol,ES,66.45,clear sky,43.4832,-8.2369,Parador de Ferrol
91,Bantry,IE,51.75,clear sky,51.6833,-9.45,The Maritime Hotel
92,Khash,IR,55.35,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
93,Port Lincoln,AU,64.83,few clouds,-34.7333,135.8667,Port Lincoln Hotel
94,Sao Filipe,CV,71.94,overcast clouds,14.8961,-24.4956,Hotel Xaguate
95,Port Elizabeth,ZA,80.1,few clouds,-33.918,25.5701,39 On Nile Guest House
96,Marsabit,KE,80.64,scattered clouds,2.3284,37.9899,Chicho Hotel
98,Nyaunglebin,MM,67.44,few clouds,17.95,96.7333,Thi ha
99,Katsuura,JP,42.91,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
100,Esperance,AU,66.04,clear sky,-33.8667,121.9,Hospitality Esperance
101,Majene,ID,78.96,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
102,Waipawa,NZ,62.46,clear sky,-41.4122,175.5153,Tora Coastal Walk
103,Pisco,PE,72.01,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
104,Sorrento,IT,54.27,clear sky,40.626,14.3744,Hilton Sorrento Palace
105,Ahipara,NZ,59.27,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
106,Sitka,US,42.69,moderate rain,57.0531,-135.33,Westmark Sitka
107,Alice Springs,AU,74.75,moderate rain,-23.7,133.8833,Desert Palms Alice Springs
108,Noumea,NC,79.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
109,Dingle,PH,76.41,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
110,Ribeira Grande,PT,64.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
111,Koumac,NC,79.11,scattered clouds,-20.5667,164.2833,Le Monitel
112,Taperoa,BR,72.14,overcast clouds,-7.2075,-36.8267,Hotel Casarão Antigo
113,Anito,PH,76.77,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
114,The Valley,AI,84.06,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
115,Cabo San Lucas,MX,70.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
116,Porto Belo,BR,75.15,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
117,Pyapon,MM,69.78,clear sky,16.2833,95.6833,Aung Naing Thu Motel
118,Barranca,PE,73.98,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
119,Guerrero Negro,MX,58.95,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
120,Mahebourg,MU,82.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
121,Castro,BR,60.44,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
122,Richards Bay,ZA,76.28,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
123,Eydhafushi,MV,82.27,broken clouds,5.1033,73.0708,Soneva Fushi
124,Pimentel,PE,82.69,clear sky,-6.8367,-79.9342,Casona Del Muelle
125,Kokoda,PG,74.88,overcast clouds,-8.8785,147.7407,Daito Guest House
126,Boca Do Acre,BR,73.87,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
128,Isangel,VU,78.91,light rain,-19.55,169.2667,Tanna Lodge
129,Ahuimanu,US,73.45,light rain,21.4447,-157.8378,Paradise Bay Resort
130,Vilhena,BR,75.42,broken clouds,-12.7406,-60.1458,Hotel Mirage
131,San Policarpo,PH,79.21,overcast clouds,12.1791,125.5072,Agapita M. Nicart
132,Vila Franca Do Campo,PT,63.19,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
133,Hithadhoo,MV,81.39,overcast clouds,-0.6,73.0833,Scoop Guest House
134,Clarence Town,AU,73.94,overcast clouds,-32.5833,151.7833,River Downs Cottage
135,Bundaberg,AU,73.69,overcast clouds,-24.85,152.35,Takalvan Motel
136,Bunia,CD,76.8,scattered clouds,1.5667,30.25,Gold Star International Hotel
137,Frutal,BR,79.43,overcast clouds,-20.0247,-48.9406,Hotel Recanto Dos Ipês
138,Scottsbluff,US,41.81,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
139,Kaeo,NZ,60.98,overcast clouds,-35.1,173.7833,Bushido Lodge
140,Lompoc,US,60.12,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
141,Anzio,IT,56.71,scattered clouds,41.4853,12.6179,Beauty Hotel & SPA
142,Lagoa,PT,58.57,clear sky,39.05,-27.9833,Casa Das Faias
143,Turayf,SA,50.25,scattered clouds,31.6725,38.6637,Turaif
144,Ambilobe,MG,76.53,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
146,Ratnagiri,IN,73.74,scattered clouds,16.9833,73.3,Hotel Landmark
147,Aravankadu,IN,61.02,scattered clouds,11.3667,76.7667,"Wallwood Garden - 19th Century (Coonoor, Tamil Nadu)"
148,Pitimbu,BR,84.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
